acc_x,acc_y,acc_z
0.102,-0.406,0.931
0.102,-0.406,0.931
0.181,-0.454,0.903
0.181,-0.454,0.903
0.181,-0.454,0.903
0.329,-0.518,0.881
0.329,-0.518,0.881
0.329,-0.518,0.881
0.388,-0.558,0.857
0.388,-0.558,0.857
0.388,-0.558,0.857
0.415,-0.557,0.842
0.415,-0.557,0.842
0.415,-0.557,0.842
0.362,-0.529,0.802
0.362,-0.529,0.802
0.362,-0.529,0.802
0.314,-0.454,0.758
0.314,-0.454,0.758
0.314,-0.454,0.758
0.265,-0.358,0.804
0.265,-0.358,0.804
0.265,-0.358,0.804
0.166,-0.192,0.876
0.166,-0.192,0.876
0.166,-0.192,0.876
0.306,-0.056,0.954
0.306,-0.056,0.954
0.306,-0.056,0.954
0.456,0.052,1.001
0.456,0.052,1.001
0.456,0.052,1.001
0.572,0.143,1.053
0.572,0.143,1.053
0.572,0.143,1.053
0.53,0.224,1.105
0.53,0.224,1.105
0.53,0.224,1.105
0.416,0.276,1.093
0.416,0.276,1.093
0.416,0.276,1.093
0.45,0.258,1.061
0.45,0.258,1.061
0.45,0.258,1.061
0.389,0.158,0.98
0.389,0.158,0.98
0.389,0.158,0.98
0.491,0.012,0.852
0.491,0.012,0.852
0.491,0.012,0.852
0.597,-0.105,0.816
0.597,-0.105,0.816
0.597,-0.105,0.816
0.544,-0.166,0.866
0.544,-0.166,0.866
0.544,-0.166,0.866
0.525,-0.204,0.95
0.525,-0.204,0.95
0.525,-0.204,0.95
0.511,-0.199,0.956
0.511,-0.199,0.956
0.511,-0.199,0.956
0.462,-0.177,0.902
0.462,-0.177,0.902
0.462,-0.177,0.902
0.364,-0.182,0.845
0.364,-0.182,0.845
0.364,-0.182,0.845
0.327,-0.243,0.812
0.327,-0.243,0.812
0.327,-0.243,0.812
0.33,-0.317,0.826
0.33,-0.317,0.826
0.33,-0.317,0.826
0.292,-0.362,0.859
0.292,-0.362,0.859
0.292,-0.362,0.859
0.293,-0.389,0.885
0.293,-0.389,0.885
0.293,-0.389,0.885
0.358,-0.432,0.911
0.358,-0.432,0.911
0.358,-0.432,0.911
0.475,-0.488,0.871
0.475,-0.488,0.871
0.475,-0.488,0.871
0.577,-0.535,0.833
0.577,-0.535,0.833
0.577,-0.535,0.833
0.544,-0.509,0.785
0.544,-0.509,0.785
0.544,-0.509,0.785
0.485,-0.443,0.764
0.485,-0.443,0.764
0.485,-0.443,0.764
0.384,-0.355,0.802
0.384,-0.355,0.802
0.384,-0.355,0.802
0.28,-0.232,0.87
0.28,-0.232,0.87
0.28,-0.232,0.87
0.233,-0.091,0.941
0.233,-0.091,0.941
0.233,-0.091,0.941
0.192,0.063,0.979
0.192,0.063,0.979
0.192,0.063,0.979
0.213,0.193,0.993
0.213,0.193,0.993
0.213,0.193,0.993
0.385,0.28,1.03
0.385,0.28,1.03
0.385,0.28,1.03
0.577,0.355,1.115
0.577,0.355,1.115
0.577,0.355,1.115
0.667,0.39,1.15
0.667,0.39,1.15
0.667,0.39,1.15
0.526,0.296,1.036
0.526,0.296,1.036
0.526,0.296,1.036
0.52,0.1,0.839
0.52,0.1,0.839
0.52,0.1,0.839
0.58,-0.056,0.741
0.58,-0.056,0.741
0.58,-0.056,0.741
0.589,-0.102,0.81
0.589,-0.102,0.81
0.589,-0.102,0.81
0.696,-0.132,0.929
0.696,-0.132,0.929
0.696,-0.132,0.929
0.644,-0.142,0.991
0.644,-0.142,0.991
0.644,-0.142,0.991
0.487,-0.174,0.967
0.487,-0.174,0.967
0.487,-0.174,0.967
0.329,-0.241,0.873
0.329,-0.241,0.873
0.329,-0.241,0.873
0.276,-0.313,0.809
0.276,-0.313,0.809
0.276,-0.313,0.809
0.282,-0.347,0.832
0.282,-0.347,0.832
0.282,-0.347,0.832
0.32,-0.313,0.896
0.32,-0.313,0.896
0.32,-0.313,0.896
0.351,-0.289,0.961
0.351,-0.289,0.961
0.351,-0.289,0.961
0.334,-0.303,0.975
0.334,-0.303,0.975
0.334,-0.303,0.975
0.275,-0.321,0.927
0.275,-0.321,0.927
0.275,-0.321,0.927
0.339,-0.341,0.9
0.339,-0.341,0.9
0.339,-0.341,0.9
0.336,-0.357,0.893
0.336,-0.357,0.893
0.336,-0.357,0.893
0.27,-0.346,0.883
0.27,-0.346,0.883
0.27,-0.346,0.883
0.197,-0.319,0.891
0.197,-0.319,0.891
0.197,-0.319,0.891
0.128,-0.288,0.906
0.128,-0.288,0.906
0.128,-0.288,0.906
0.152,-0.299,0.846
0.152,-0.299,0.846
0.152,-0.299,0.846
0.303,-0.244,0.864
0.303,-0.244,0.864
0.303,-0.244,0.864
0.272,-0.165,0.885
0.272,-0.165,0.885
0.272,-0.165,0.885
0.317,-0.108,0.897
0.317,-0.108,0.897
0.317,-0.108,0.897
0.426,-0.059,0.865
0.426,-0.059,0.865
0.426,-0.059,0.865
0.553,0.011,0.837
0.553,0.011,0.837
0.553,0.011,0.837
0.588,0.111,0.953
0.588,0.111,0.953
0.588,0.111,0.953
0.581,0.314,1.16
0.581,0.314,1.16
0.581,0.314,1.16
0.462,0.409,1.224
0.462,0.409,1.224
0.462,0.409,1.224
0.368,0.328,1.057
0.368,0.328,1.057
0.368,0.328,1.057
0.347,0.191,0.854
0.347,0.191,0.854
0.347,0.191,0.854
0.477,0.053,0.856
0.477,0.053,0.856
0.477,0.053,0.856
0.513,-0.058,0.914
0.513,-0.058,0.914
0.513,-0.058,0.914
0.568,-0.099,0.946
0.568,-0.099,0.946
0.568,-0.099,0.946
0.594,-0.127,0.966
0.594,-0.127,0.966
0.594,-0.127,0.966
0.528,-0.124,0.956
0.528,-0.124,0.956
0.528,-0.124,0.956
0.469,-0.12,0.934
0.469,-0.12,0.934
0.469,-0.12,0.934
0.392,-0.141,0.904
0.392,-0.141,0.904
0.392,-0.141,0.904
0.355,-0.202,0.903
0.355,-0.202,0.903
0.355,-0.202,0.903
0.314,-0.245,0.853
0.314,-0.245,0.853
0.314,-0.245,0.853
0.328,-0.286,0.866
0.328,-0.286,0.866
0.328,-0.286,0.866
0.349,-0.312,0.93
0.349,-0.312,0.93
0.349,-0.312,0.93
0.365,-0.36,0.931
0.365,-0.36,0.931
0.365,-0.36,0.931
0.265,-0.371,0.886
0.265,-0.371,0.886
0.265,-0.371,0.886
0.236,-0.383,0.885
0.236,-0.383,0.885
0.236,-0.383,0.885
0.274,-0.394,0.9
0.274,-0.394,0.9
0.274,-0.394,0.9
0.276,-0.374,0.891
0.276,-0.374,0.891
0.276,-0.374,0.891
0.282,-0.343,0.87
0.282,-0.343,0.87
0.282,-0.343,0.87
0.255,-0.318,0.824
0.255,-0.318,0.824
0.255,-0.318,0.824
0.221,-0.263,0.836
0.221,-0.263,0.836
0.221,-0.263,0.836
0.134,-0.159,0.886
0.134,-0.159,0.886
0.134,-0.159,0.886
0.115,-0.046,0.941
0.115,-0.046,0.941
0.115,-0.046,0.941
0.302,0.025,0.983
0.302,0.025,0.983
0.302,0.025,0.983
0.493,0.12,1.029
0.493,0.12,1.029
0.493,0.12,1.029
0.618,0.234,1.072
0.618,0.234,1.072
0.618,0.234,1.072
0.607,0.299,1.101
0.607,0.299,1.101
0.607,0.299,1.101
0.539,0.289,1.097
0.539,0.289,1.097
0.539,0.289,1.097
0.465,0.181,1.016
0.465,0.181,1.016
0.465,0.181,1.016
0.445,0.07,0.921
0.445,0.07,0.921
0.445,0.07,0.921
0.525,-0.039,0.867
0.525,-0.039,0.867
0.525,-0.039,0.867
0.566,-0.128,0.834
0.566,-0.128,0.834
0.566,-0.128,0.834
0.641,-0.204,0.803
0.641,-0.204,0.803
0.641,-0.204,0.803
0.641,-0.23,0.849
0.641,-0.23,0.849
0.641,-0.23,0.849
0.578,-0.241,0.876
0.578,-0.241,0.876
0.578,-0.241,0.876
0.575,-0.261,0.874
0.575,-0.261,0.874
0.575,-0.261,0.874
0.505,-0.235,0.84
0.505,-0.235,0.84
0.505,-0.235,0.84
0.389,-0.231,0.8
0.389,-0.231,0.8
0.389,-0.231,0.8
0.318,-0.267,0.822
0.318,-0.267,0.822
0.318,-0.267,0.822
0.316,-0.31,0.879
0.316,-0.31,0.879
0.316,-0.31,0.879
0.285,-0.336,0.896
0.285,-0.336,0.896
0.285,-0.336,0.896
0.281,-0.369,0.867
0.281,-0.369,0.867
0.281,-0.369,0.867
0.382,-0.452,0.844
0.382,-0.452,0.844
0.382,-0.452,0.844
0.447,-0.503,0.8
0.447,-0.503,0.8
0.447,-0.503,0.8
0.504,-0.51,0.789
0.504,-0.51,0.789
0.504,-0.51,0.789
0.509,-0.477,0.772
0.509,-0.477,0.772
0.509,-0.477,0.772
0.488,-0.431,0.778
0.488,-0.431,0.778
0.488,-0.431,0.778
0.462,-0.37,0.83
0.462,-0.37,0.83
0.462,-0.37,0.83
0.386,-0.257,0.894
0.386,-0.257,0.894
0.386,-0.257,0.894
0.31,-0.141,0.92
0.31,-0.141,0.92
0.31,-0.141,0.92
0.306,-0.06,0.911
0.306,-0.06,0.911
0.306,-0.06,0.911
0.401,0.026,0.905
0.401,0.026,0.905
0.401,0.026,0.905
0.485,0.092,0.953
