acc_x,acc_y,acc_z
-0.024,-0.383,0.907
0.17,-0.354,0.983
0.17,-0.354,0.983
0.17,-0.354,0.983
0.246,-0.322,1.004
0.246,-0.322,1.004
0.246,-0.322,1.004
0.224,-0.248,0.98
0.224,-0.248,0.98
0.224,-0.248,0.98
0.23,-0.127,0.961
0.23,-0.127,0.961
0.23,-0.127,0.961
0.157,-0.011,0.924
0.157,-0.011,0.924
0.157,-0.011,0.924
0.141,0.083,0.968
0.141,0.083,0.968
0.141,0.083,0.968
0.15,0.151,1.031
0.15,0.151,1.031
0.15,0.151,1.031
0.102,0.163,1.018
0.102,0.163,1.018
0.102,0.163,1.018
0.064,0.114,0.979
0.064,0.114,0.979
0.064,0.114,0.979
0.046,0.008,0.952
0.046,0.008,0.952
0.046,0.008,0.952
0.067,-0.069,0.935
0.067,-0.069,0.935
0.067,-0.069,0.935
0.117,-0.14,0.948
0.117,-0.14,0.948
0.117,-0.14,0.948
0.145,-0.169,0.982
0.145,-0.169,0.982
0.145,-0.169,0.982
0.135,-0.19,1.008
0.135,-0.19,1.008
0.135,-0.19,1.008
0.155,-0.19,1.02
0.155,-0.19,1.02
0.155,-0.19,1.02
0.2,-0.134,1.007
0.2,-0.134,1.007
0.2,-0.134,1.007
0.178,-0.003,1.008
0.178,-0.003,1.008
0.178,-0.003,1.008
0.089,0.083,1.033
0.089,0.083,1.033
0.089,0.083,1.033
0.034,0.153,1.057
0.034,0.153,1.057
0.034,0.153,1.057
0.045,0.151,1.055
0.045,0.151,1.055
0.045,0.151,1.055
0.107,0.115,1.045
0.107,0.115,1.045
0.107,0.115,1.045
0.12,0.093,1.028
0.12,0.093,1.028
0.12,0.093,1.028
0.07,0.039,0.993
0.07,0.039,0.993
0.07,0.039,0.993
0.06,-0.019,0.964
0.06,-0.019,0.964
0.06,-0.019,0.964
0.155,-0.052,0.973
0.155,-0.052,0.973
0.155,-0.052,0.973
0.203,-0.065,1.017
0.203,-0.065,1.017
0.203,-0.065,1.017
0.191,-0.045,1.047
0.191,-0.045,1.047
0.191,-0.045,1.047
0.179,-0.019,1.037
0.179,-0.019,1.037
0.179,-0.019,1.037
0.172,0.005,1.023
0.172,0.005,1.023
0.172,0.005,1.023
0.195,0.036,1.032
0.195,0.036,1.032
0.195,0.036,1.032
0.224,0.089,1.058
0.224,0.089,1.058
0.224,0.089,1.058
0.261,0.169,1.092
0.261,0.169,1.092
0.261,0.169,1.092
0.266,0.218,1.096
0.266,0.218,1.096
0.266,0.218,1.096
0.252,0.227,1.042
0.252,0.227,1.042
0.252,0.227,1.042
0.098,0.196,1.011
0.098,0.196,1.011
0.098,0.196,1.011
0.045,0.106,1.017
0.045,0.106,1.017
0.045,0.106,1.017
0.104,-0.017,1.048
0.104,-0.017,1.048
0.104,-0.017,1.048
0.232,-0.193,1.052
0.232,-0.193,1.052
0.232,-0.193,1.052
0.321,-0.396,0.989
0.321,-0.396,0.989
0.321,-0.396,0.989
0.234,-0.552,0.919
0.234,-0.552,0.919
0.234,-0.552,0.919
0.075,-0.579,0.855
0.075,-0.579,0.855
0.075,-0.579,0.855
0.065,-0.496,0.857
0.065,-0.496,0.857
0.065,-0.496,0.857
0.034,-0.4,0.892
0.034,-0.4,0.892
0.034,-0.4,0.892
0.105,-0.287,0.938
0.105,-0.287,0.938
0.105,-0.287,0.938
0.309,-0.193,0.967
0.309,-0.193,0.967
0.309,-0.193,0.967
0.455,-0.07,1.014
0.455,-0.07,1.014
0.455,-0.07,1.014
0.433,0.063,1.068
0.433,0.063,1.068
0.433,0.063,1.068
0.299,0.154,1.063
0.299,0.154,1.063
0.299,0.154,1.063
0.144,0.139,1.02
0.144,0.139,1.02
0.144,0.139,1.02
0.035,0.058,0.993
0.035,0.058,0.993
0.035,0.058,0.993
