acc_x,acc_y,acc_z
0.456,-0.033,0.966
0.456,-0.033,0.966
0.456,-0.033,0.966
0.51,-0.009,1.053
0.51,-0.009,1.053
0.51,-0.009,1.053
0.583,-0.019,1.096
0.583,-0.019,1.096
0.583,-0.019,1.096
0.583,-0.024,1.07
0.583,-0.024,1.07
0.583,-0.024,1.07
0.525,-0.029,1.009
0.525,-0.029,1.009
0.525,-0.029,1.009
0.429,-0.018,0.96
0.429,-0.018,0.96
0.429,-0.018,0.96
0.384,0.016,0.937
0.384,0.016,0.937
0.384,0.016,0.937
0.399,0.038,0.92
0.399,0.038,0.92
0.399,0.038,0.92
0.483,0.044,0.936
0.483,0.044,0.936
0.483,0.044,0.936
0.53,0.049,0.938
0.53,0.049,0.938
0.53,0.049,0.938
0.44,0.064,0.912
0.44,0.064,0.912
0.44,0.064,0.912
0.353,0.076,0.895
0.353,0.076,0.895
0.353,0.076,0.895
0.292,0.064,0.952
0.292,0.064,0.952
0.292,0.064,0.952
0.257,0.078,0.979
0.257,0.078,0.979
0.257,0.078,0.979
0.316,0.04,0.926
0.316,0.04,0.926
0.316,0.04,0.926
0.368,-0.048,0.918
0.368,-0.048,0.918
0.368,-0.048,0.918
0.436,-0.097,0.936
0.436,-0.097,0.936
0.436,-0.097,0.936
0.465,-0.081,0.986
0.465,-0.081,0.986
0.465,-0.081,0.986
0.426,-0.055,0.972
0.426,-0.055,0.972
0.426,-0.055,0.972
0.355,-0.047,0.93
0.355,-0.047,0.93
0.355,-0.047,0.93
0.322,-0.046,0.94
0.322,-0.046,0.94
0.322,-0.046,0.94
0.299,-0.022,0.925
0.299,-0.022,0.925
0.299,-0.022,0.925
0.32,0.0,0.902
0.32,0.0,0.902
0.32,0.0,0.902
0.344,-0.012,0.91
0.344,-0.012,0.91
0.344,-0.012,0.91
0.342,-0.026,0.974
0.342,-0.026,0.974
0.342,-0.026,0.974
0.299,-0.02,1.033
0.299,-0.02,1.033
0.299,-0.02,1.033
0.227,-0.025,0.991
0.227,-0.025,0.991
0.227,-0.025,0.991
0.241,-0.069,0.896
0.241,-0.069,0.896
0.241,-0.069,0.896
0.276,-0.071,0.805
0.276,-0.071,0.805
0.276,-0.071,0.805
0.347,-0.09,0.784
0.347,-0.09,0.784
0.347,-0.09,0.784
0.366,-0.083,0.887
0.366,-0.083,0.887
0.366,-0.083,0.887
0.351,-0.061,1.023
0.351,-0.061,1.023
0.351,-0.061,1.023
0.388,-0.07,1.055
0.388,-0.07,1.055
0.388,-0.07,1.055
0.365,-0.087,1.006
0.365,-0.087,1.006
0.365,-0.087,1.006
0.326,-0.097,0.917
0.326,-0.097,0.917
0.326,-0.097,0.917
0.327,-0.085,0.899
0.327,-0.085,0.899
0.327,-0.085,0.899
0.355,-0.055,0.972
0.355,-0.055,0.972
0.355,-0.055,0.972
0.359,-0.036,1.001
0.359,-0.036,1.001
0.359,-0.036,1.001
0.327,-0.038,0.948
0.327,-0.038,0.948
0.327,-0.038,0.948
0.286,-0.065,0.864
0.286,-0.065,0.864
0.286,-0.065,0.864
0.318,-0.082,0.818
0.318,-0.082,0.818
0.318,-0.082,0.818
0.397,-0.072,0.906
0.397,-0.072,0.906
0.397,-0.072,0.906
0.455,-0.057,0.966
0.455,-0.057,0.966
0.455,-0.057,0.966
0.483,-0.067,0.922
0.483,-0.067,0.922
0.483,-0.067,0.922
0.443,-0.072,0.846
0.443,-0.072,0.846
0.443,-0.072,0.846
0.416,-0.048,0.847
0.416,-0.048,0.847
0.416,-0.048,0.847
0.45,-0.022,0.92
0.45,-0.022,0.92
0.45,-0.022,0.92
0.463,-0.024,0.973
0.463,-0.024,0.973
0.463,-0.024,0.973
